trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
8,25,25,critical,WP1,e,low,low,match,no,Mordsmäßig betucht*brabbelt*Heike:,Ich*pediküre*bald*meine Bude*bei der Kosmetikerin.,Welches Bild passt am besten zu dem vorherigen Satz?,Bude-1.jpg,Residenz-1.jpg,Fuesse-1.jpg,Mauken-1.jpg,Mordsmäßig betucht brabbelt Heike:
9,65,1,filler,WP2,g,low,high,mismatch,yes,Der Türsteher*steckte*dem coolen Partygirl:,Der Trinker*diffamierte*den Taxifahrer.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler1_WP2_related_1.jpg,Filler1_WP2_related_2.jpg,Filler1_WP2_unrelated_1.jpg,Filler1_WP2_unrelated_2.jpg,Der Türsteher steckte dem coolen Partygirl:
10,11,11,critical,WP1,f,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*bügel*gleich*meine Pferde*auf dem Bügelbrett.,Welches Bild passt am besten zu dem vorherigen Satz?,Pferde-1.jpg,Gaule-1.jpg,Hosen-1.jpg,Buxen-1.jpg,Patent trainiert verklickert Daniel:
11,57,19,filler,SocStat,b,high,high,match,no,In einer Rösterei*arbeiten*macht*große Freude.,"Ich*finde,*dass*der Kaffee*wegen die alte Milch*merkwürdig schmeckt.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler19_socstat_related_1.jpg,Filler19_socstat_related_2.jpg,Filler19_socstat_unrelated_1.jpg,Filler19_socstat_unrelated_2.jpg,In einer Rösterei arbeiten macht große Freude.
12,9,9,critical,WP1,c,low,low,match,yes,Massig betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine Karren*neben der Müllkippe.,Welches Bild passt am besten zu dem vorherigen Satz?,Autos-1.jpg,Karren-1.jpg,Beine-1.jpg,Stelzen-1.jpg,Massig betucht schwafelt Paula:
13,67,3,filler,WP2,g,low,high,mismatch,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*tyrannisierte*den Wettläufer.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler3_WP2_related_1.jpg,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_unrelated_2.jpg,Der Typ verbreitete auf WhatsApp:
14,77,13,filler,WP2,i,low,low,match,yes,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*vermöbelte*den Kellner.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler13_WP2_related_1.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_1.jpg,Filler13_WP2_unrelated_2.jpg,Die Clique johlte beim Saufen:
15,63,41,filler,SocStat,b,high,high,match,no,Sein Enkel*macht*in seiner Heimatstadt*Wittenberg*Abitur.,"Ich*bin sicher,*dass*die Note*trotz die knappe Vorbereitung*erfreulich ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler41_socstat_related_1.jpg,Filler41_socstat_related_2.jpg,Filler41_socstat_unrelated_1.jpg,Filler41_socstat_unrelated_2.jpg,Sein Enkel macht in seiner Heimatstadt Wittenberg Abitur.
16,19,19,critical,WP1,f,low,high,mismatch,no,Aktiv mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Champagner*in dem Office.,Welches Bild passt am besten zu dem vorherigen Satz?,Champagner-1.jpg,Schampus-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Aktiv mit dabei protzt Lukas:
17,51,11,filler,SocStat,a,high,high,match,yes,Elsa*verdient*als Pilotin*sehr viel Geld.,"Ich*bin überzeugt,*dass*die Freundschaft*wegen der großen Entfernung*leiden muss.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler11_socstat_related_1.jpg,Filler11_socstat_related_2.jpg,Filler11_socstat_unrelated_1.jpg,Filler11_socstat_unrelated_2.jpg,Elsa verdient als Pilotin sehr viel Geld.
18,21,21,critical,WP1,e,low,low,match,no,Fix gerüstet*plappert*Florian:,Ich*stähle*jetzt*meinen Köter*in dem Sportzentrum.,Welches Bild passt am besten zu dem vorherigen Satz?,Koeter-1.jpg,Hund-1.jpg,Wanst-1.jpg,Bauch-1.jpg,Fix gerüstet plappert Florian:
19,41,1,filler,SocStat,a,high,high,match,yes,Tante Inga*schuftet schwer*in der Imbissbude.,"Ich*merke,*dass*die Gegend*wegen des bunten Festes*abgesperrt ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler1_socstat_related_1.jpg,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_1.jpg,Filler1_socstat_unrelated_2.jpg,Tante Inga schuftet schwer in der Imbissbude.
20,83,19,filler,WP2,h,low,high,mismatch,no,Die Oma*schwatzte*vor sich hin:,Der Priester*indoktrinieren*den Hausarzt.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler19_WP2_related_1.jpg,Filler19_WP2_related_2.jpg,Filler19_WP2_unrelated_1.jpg,Filler19_WP2_unrelated_2.jpg,Die Oma schwatzte vor sich hin:
21,5,5,critical,WP1,c,low,low,match,yes,Stark unter Dampf*trötet*Moritz:,Ich*renoviere*später*meine Kammern*in dem Plattenbau.,Welches Bild passt am besten zu dem vorherigen Satz?,Kammern-1.jpg,Gemaecher-1.jpg,Poette-1.jpg,Tassen-1.jpg,Stark unter Dampf trötet Moritz:
22,3,3,critical,WP1,c,low,low,match,yes,Schlampig eingestellt*labert*Felix.,Ich*saniere*bald*meine Behausung*in der City.,Welches Bild passt am besten zu dem vorherigen Satz?,Behausung-1.jpg,Wohnung-1.jpg,Lauscher-1.jpg,Ohren-1.jpg,Schlampig eingestellt labert Felix.
23,1,1,critical,WP1,c,low,low,match,yes,Sauber zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine Latschen*vor dem Zimmer.,Welches Bild passt am besten zu dem vorherigen Satz?,Latschen-1.jpg,Schuhe-1.jpg,Klamotten-1.jpg,Kleidung-1.jpg,Sauber zurechtgemacht labert Peter:
24,87,25,filler,WP2,h,low,high,mismatch,no,Der Spitzel*schmierte*auf das Post-it:,Der Trainer*inspizieren*den Ringkämpfer.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler25_WP2_related_1.jpg,Filler25_WP2_related_2.jpg,Filler25_WP2_unrelated_1.jpg,Filler25_WP2_unrelated_2.jpg,Der Spitzel schmierte auf das Post-it:
25,55,15,filler,SocStat,b,high,high,match,no,Charlotte*schreibt*freiberuflich*für ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen die fiese Beleidigung*schlecht ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler15_socstat_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_1.jpg,Filler15_socstat_unrelated_2.jpg,Charlotte schreibt freiberuflich für ein Satiremagazin.
26,81,17,filler,WP2,i,low,low,match,yes,Die Sportlegende*laberte*nonstop:,Der Fechter*fightete*den Gegner.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler17_WP2_related_1.jpg,Filler17_WP2_related_2.jpg,Filler17_WP2_unrelated_1.jpg,Filler17_WP2_unrelated_2.jpg,Die Sportlegende laberte nonstop:
27,13,13,critical,WP1,f,low,high,mismatch,no,Astrein hergerichtet*plappert*Maria:,Ich*schmiere*später*meine Fingernägel*in der Kochnische.,Welches Bild passt am besten zu dem vorherigen Satz?,Fingernaegel-1.jpg,Klauen-1.jpg,Butterbrote-1.jpg,Schnitten-1.jpg,Astrein hergerichtet plappert Maria:
28,73,9,filler,WP2,j,low,low,match,no,Die Bürotante*kritzelte*auf den Zettel:,Der Reiseleiter*begucken*den Einzelgänger.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler9_WP2_related_1.jpg,Filler9_WP2_related_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_unrelated_2.jpg,Die Bürotante kritzelte auf den Zettel:
29,79,15,filler,WP2,i,low,low,match,yes,Der Depp*sprayte*an die Mauer:,Der Soldat*verpetzte*den Wachmann.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler15_WP2_related_1.jpg,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Filler15_WP2_unrelated_2.jpg,Der Depp sprayte an die Mauer:
30,61,39,filler,SocStat,b,high,high,match,no,Seine Großmutter*aus München*backt*sehr gerne.,"Ich*befürchte,*dass*der Kuchen*trotz die frische Füllung*trocken ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler39_socstat_related_1.jpg,Filler39_socstat_related_2.jpg,Filler39_socstat_unrelated_1.jpg,Filler39_socstat_unrelated_2.jpg,Seine Großmutter aus München backt sehr gerne.
31,15,15,critical,WP1,f,low,high,mismatch,no,Helle gestrickt*tönt*Robert:,Ich*spare*jetzt*mein Essen*auf dem Konto.,Welches Bild passt am besten zu dem vorherigen Satz?,Essen-1.jpg,Futter-1.jpg,Geld-1.jpg,Moos-1.jpg,Helle gestrickt tönt Robert:
32,37,37,critical,WP1,d,low,high,mismatch,yes,Recht zuvorkommend*plauscht*Norbert:,Ich*wasche*gleich*meine Finger*in dem Spülbecken.,Welches Bild passt am besten zu dem vorherigen Satz?,Finger-1.jpg,Griffel-1.jpg,Getraenke-1.jpg,Pluerre-1.jpg,Recht zuvorkommend plauscht Norbert:
33,71,7,filler,WP2,j,low,low,match,no,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*verschaukeln*den Raubmörder.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler7_WP2_related_1.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_unrelated_2.jpg,Der Besoffene johlte vor dem Fernseher:
34,47,7,filler,SocStat,a,high,high,match,yes,Die Feuerwehrfrau*löscht*die Brände.,"Ich*meine,*dass*die Unruhe*wegen der wüsten Proteste*nachvollziehbar ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler7_socstat_related_1.jpg,Filler7_socstat_related_2.jpg,Filler7_socstat_unrelated_1.jpg,Filler7_socstat_unrelated_2.jpg,Die Feuerwehrfrau löscht die Brände.
35,7,7,critical,WP1,c,low,low,match,yes,Quietschfidel gelaunt*twittert*Dennis:,Ich*fahre*jetzt*mein Stahlross*durch den Kiez.,Welches Bild passt am besten zu dem vorherigen Satz?,Stahlross-1.jpg,Fahrrad-1.jpg,Gruenzeug-1.jpg,Gemuese-1.jpg,Quietschfidel gelaunt twittert Dennis:
36,17,17,critical,WP1,f,low,high,mismatch,no,Pingelig getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein Tier*mit dem Putzmittel.,Welches Bild passt am besten zu dem vorherigen Satz?,Tier-1.jpg,Vieh-1.jpg,WC-1.jpg,Klo-1.jpg,Pingelig getrimmt schwafelt Tobias:
37,75,11,filler,WP2,j,low,low,match,no,Die Babysitterin*checkte*im Laden:,Die Verkäuferin*beäugeln*das Kind.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler11_WP2_related_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_unrelated_2.jpg,Die Babysitterin checkte im Laden:
38,85,23,filler,WP2,h,low,high,mismatch,no,Der Bouncer*gellte*ins Walkie-Talkie:,Der Geiger*stoßen*den Sänger.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler23_WP2_related_1.jpg,Filler23_WP2_related_2.jpg,Filler23_WP2_unrelated_1.jpg,Filler23_WP2_unrelated_2.jpg,Der Bouncer gellte ins Walkie-Talkie:
39,31,31,critical,WP1,d,low,high,mismatch,yes,Spitze gedrillt*schnarrt*Klaus:,Ich*feuere*bald*meine Pistole*auf der Gasse.,Welches Bild passt am besten zu dem vorherigen Satz?,Pistole-1.jpg,Knarre-1.jpg,Arznei-1.jpg,Pillen-1.jpg,Spitze gedrillt schnarrt Klaus:
40,27,27,critical,WP1,e,low,low,match,no,Enorm geschickt*schnattert*Susanna:,Ich*schneidere*jetzt*meine Fiedel*bei der Näherin.,Welches Bild passt am besten zu dem vorherigen Satz?,Fiedel-1.jpg,Geige-1.jpg,Fummel-1.jpg,Kleider-1.jpg,Enorm geschickt schnattert Susanna:
41,53,13,filler,SocStat,b,high,high,match,no,Trotz Technologiesierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*schätze,*dass*die Lieferung*wegen die heftigen Stürme*verspätet ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler13_socstat_related_1.jpg,Filler13_socstat_related_2.jpg,Filler13_socstat_unrelated_1.jpg,Filler13_socstat_unrelated_2.jpg,Trotz Technologiesierung arbeiten viele aus meiner Familie in Fabriken.
42,29,29,critical,WP1,e,low,low,match,no,Extrem großkotzig*meint*Annika:,Ich*rauche*bald*meine Kneipe*mit einem Kumpel.,Welches Bild passt am besten zu dem vorherigen Satz?,Kneipe-1.jpg,Schaenke-1.jpg,Zigarre-1.jpg,Kippe-1.jpg,Extrem großkotzig meint Annika:
43,35,35,critical,WP1,d,low,high,mismatch,yes,Massiv selbstständig*protzt*Vera:,Ich*schminke*später*meine Augen*vor dem Spiegel.,Welches Bild passt am besten zu dem vorherigen Satz?,Glubscher-1.jpg,Augen-1.jpg,Funzel-1.jpg,Lampe-1.jpg,Massiv selbstständig protzt Vera:
44,59,24,filler,SocStat,b,high,high,match,no,Max*aus Bremen*ist*ein richtiger Bücherwurm.,"Ich*behaupte,*dass*das Lesen*wegen die neue Brille*leichter fällt.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_unrelated_2.jpg,Max aus Bremen ist ein richtiger Bücherwurm.
45,46,6,filler,SocStat,a,high,high,match,yes,Zu spät*kommen*als Arzt*wird*nicht gern*gesehen.,"Ich*denke,*dass*der Stau*wegen der engen Baustelle*unendlich ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler6_socstat_related_1.jpg,Filler6_socstat_related_2.jpg,Filler6_socstat_unrelated_1.jpg,Filler6_socstat_unrelated_2.jpg,Zu spät kommen als Arzt wird nicht gern gesehen.
46,76,12,filler,WP2,j,high,low,mismatch,no,Die Akademikerin*bedauerte*in der Konversation:,Der Passant*schimpfen*den Obdachlosen.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler12_WP2_related_1.jpg,Filler12_WP2_related_2.jpg,Filler12_WP2_unrelated_1.jpg,Filler12_WP2_unrelated_2.jpg,Die Akademikerin bedauerte in der Konversation:
47,30,30,critical,WP1,e,high,high,match,no,Exzessiv arrogant*intoniert*Annika:,Ich*streiche*bald*meine Zigarre*auf der Fassade.,Welches Bild passt am besten zu dem vorherigen Satz?,Zigarre-1.jpg,Kippe-1.jpg,Schaenke-1.jpg,Kneipe-1.jpg,Exzessiv arrogant intoniert Annika:
48,64,52,filler,SocStat,b,high,high,match,no,Intern*wurden*die Informationen*weitergeleitet.,"Ich*hoffe,*dass*die Führung*trotz das üble Unglück*stattfinden kann.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler52_socstat_related_1.jpg,Filler52_socstat_related_2.jpg,Filler52_socstat_unrelated_1.jpg,Filler52_socstat_unrelated_2.jpg,Intern wurden die Informationen weitergeleitet.
49,78,14,filler,WP2,i,high,low,mismatch,yes,Der Hochwohlgeborene*verbreitete*anmutig:,Der Meister*checkte*den Lehrling.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler14_WP2_related_1.jpg,Filler14_WP2_related_2.jpg,Filler14_WP2_unrelated_1.jpg,Filler14_WP2_unrelated_2.jpg,Der Hochwohlgeborene verbreitete anmutig:
50,20,20,critical,WP1,f,high,low,mismatch,no,Regsam engagiert*renommiert*Lukas:,Ich*serviere*jetzt*meinen Wisch*auf der Veranda.,Welches Bild passt am besten zu dem vorherigen Satz?,Wisch-1.jpg,Antrag-1.jpg,Schampus-1.jpg,Champagner-1.jpg,Regsam engagiert renommiert Lukas:
51,10,10,critical,WP1,c,high,high,match,yes,Vermögend situiert*avisiert*Paula:,Ich*rasiere*bald*meine Beine*in der Badewanne.,Welches Bild passt am besten zu dem vorherigen Satz?,Beine-1.jpg,Stelzen-1.jpg,Autos-1.jpg,Karren-1.jpg,Vermögend situiert avisiert Paula:
52,58,21,filler,SocStat,b,high,high,match,no,Als Lektor*steht*Hans*stets*vor neuen Herausforderungen.,"Ich*hoffe,*dass*die Reaktion*wegen die falsche Nachricht*angemessen ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler21_socstat_related_1.jpg,Filler21_socstat_related_2.jpg,Filler21_socstat_unrelated_1.jpg,Filler21_socstat_unrelated_2.jpg,Als Lektor steht Hans stets vor neuen Herausforderungen.
53,66,2,filler,WP2,g,high,high,match,yes,Der Gefängnisvorstand*bezeugte*in der Anhörung:,Der Skinhead*züchtigte*den Häftling.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler2_WP2_related_1.jpg,Filler2_WP2_related_2.jpg,Filler2_WP2_unrelated_1.jpg,Filler2_WP2_unrelated_2.jpg,Der Gefängnisvorstand bezeugte in der Anhörung:
54,80,16,filler,WP2,i,high,low,mismatch,yes,Der Vorstand*verbuchte*in dem Protokoll:,Der Radfahrer*bepöbelte*den Autofahrer.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler16_WP2_related_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_unrelated_2.jpg,Der Vorstand verbuchte in dem Protokoll:
55,4,4,critical,WP1,c,high,high,match,yes,Modern ausgerichtet*spricht*Felix:,Ich*pierce*bald*meine Ohren*in dem Einkaufszentrum.,Welches Bild passt am besten zu dem vorherigen Satz?,Ohren-1.jpg,Lauscher-1.jpg,Wohnung-1.jpg,Behausung-1.jpg,Modern ausgerichtet spricht Felix:
56,60,28,filler,SocStat,b,high,high,match,no,Peter*mag*an Potsdam*die vielen Grünflächen.,"Ich*mutmaße,*dass*der Park*wegen die schmale Größe*übersichtlich ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler28_socstat_related_1.jpg,Filler28_socstat_related_2.jpg,Filler28_socstat_unrelated_1.jpg,Filler28_socstat_unrelated_2.jpg,Peter mag an Potsdam die vielen Grünflächen.
57,68,4,filler,WP2,g,high,high,match,yes,Die Kulturministerin*artikulierte*in dem Jahresbericht:,Die Regisseurin*koste*den Hauptdarsteller.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler4_WP2_related_1.jpg,Filler4_WP2_related_2.jpg,Filler4_WP2_unrelated_1.jpg,Filler4_WP2_unrelated_2.jpg,Die Kulturministerin artikulierte in dem Jahresbericht:
58,74,10,filler,WP2,j,high,low,mismatch,no,Der Werkstattinhaber*bekundete*bestürzt:,Der Autobesitzer*nerven*den Mechaniker.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler10_WP2_related_1.jpg,Filler10_WP2_related_2.jpg,Filler10_WP2_unrelated_1.jpg,Filler10_WP2_unrelated_2.jpg,Der Werkstattinhaber bekundete bestürzt:
59,2,2,critical,WP1,c,high,high,match,yes,Elegant angezogen*spricht*Peter:,Ich*falte*gleich*meine Kleidung*auf der Liege.,Welches Bild passt am besten zu dem vorherigen Satz?,Kleidung-1.jpg,Klamotten-1.jpg,Schuhe-1.jpg,Latschen-1.jpg,Elegant angezogen spricht Peter:
60,56,16,filler,SocStat,b,high,high,match,no,Ricardo*wird*regelmäßig*als DJ*angeheuert.,"Ich*merke,*dass*die Überraschung*wegen die tiefe Freude*gelungen ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler16_socstat_related_1.jpg,Filler16_socstat_related_2.jpg,Filler16_socstat_unrelated_1.jpg,Filler16_socstat_unrelated_2.jpg,Ricardo wird regelmäßig als DJ angeheuert.
61,82,18,filler,WP2,i,high,low,mismatch,yes,Der Vorstandsvorsitzende*propagierte*in der Sitzung:,Der Ausbilder*sponserte*die Künstlerin.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler18_WP2_related_1.jpg,Filler18_WP2_related_2.jpg,Filler18_WP2_unrelated_1.jpg,Filler18_WP2_unrelated_2.jpg,Der Vorstandsvorsitzende propagierte in der Sitzung:
62,22,22,critical,WP1,e,high,high,match,no,Fachkundig instruiert*signalisiert*Florian:,Ich*entwurme*jetzt*meinen Bauch*bei dem Veterinär.,Welches Bild passt am besten zu dem vorherigen Satz?,Bauch-1.jpg,Wanst-1.jpg,Hund-1.jpg,Koeter-1.jpg,Fachkundig instruiert signalisiert Florian:
63,72,8,filler,WP2,j,high,low,mismatch,no,Die Juroren*verlasen*ihr Votum:,Der Sporttaucher*foppen*den Brustschwimmer.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler8_WP2_related_1.jpg,Filler8_WP2_related_2.jpg,Filler8_WP2_unrelated_1.jpg,Filler8_WP2_unrelated_2.jpg,Die Juroren verlasen ihr Votum:
64,24,24,critical,WP1,e,high,high,match,no,Beflissen arbeitend*kündet*Lars:,Ich*befülle*gleich*meine Haare*aus dem Krug.,Welches Bild passt am besten zu dem vorherigen Satz?,Haare-1.jpg,Maehne-1.jpg,Flasche-1.jpg,Pulle-1.jpg,Beflissen arbeitend kündet Lars:
65,48,8,filler,SocStat,a,high,high,match,yes,Anna*arbeitet*mehr als 5 Jahre*in dem Geschäft.,"Ich*meine,*dass*das Essen*wegen des scharfen Gewürzes*unverträglich ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_unrelated_2.jpg,Anna arbeitet mehr als 5 Jahre in dem Geschäft.
66,8,8,critical,WP1,c,high,high,match,yes,Wohlgemut gesinnt*proklamiert*Dennis:,Ich*esse*jetzt*mein Gemüse*von dem Supermarkt.,Welches Bild passt am besten zu dem vorherigen Satz?,Gemuese-1.jpg,Gruenzeug-1.jpg,Fahrrad-1.jpg,Stahlross-1.jpg,Wohlgemut gesinnt proklamiert Dennis:
67,18,18,critical,WP1,f,high,low,mismatch,no,Penibelst disponiert*propagiert*Tobias:,Ich*füttere*gleich*mein Klo*vor dem Lagerhaus.,Welches Bild passt am besten zu dem vorherigen Satz?,Klo-1.jpg,WC-1.jpg,Vieh-1.jpg,Tier-1.jpg,Penibelst disponiert propagiert Tobias:
68,26,26,critical,WP1,e,high,high,match,no,Unerhört wohlhabend*äußert*Heike:,Ich*verkaufe*bald*meine Füße*bei der Versteigerung.,Welches Bild passt am besten zu dem vorherigen Satz?,Fuesse-1.jpg,Mauken-1.jpg,Residenz-1.jpg,Bude-1.jpg,Unerhört wohlhabend äußert Heike:
69,62,40,filler,SocStat,b,high,high,match,no,In Ihrer neuen Heimat*Kassel*ist*viel Platz*für ein Beet.,"Ich*befürchte,*dass*der Garten*trotz die üppige Pflege*zuwachsen wird.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler40_socstat_related_1.jpg,Filler40_socstat_related_2.jpg,Filler40_socstat_unrelated_1.jpg,Filler40_socstat_unrelated_2.jpg,In Ihrer neuen Heimat Kassel ist viel Platz für ein Beet.
70,42,2,filler,SocStat,a,high,high,match,yes,Jürgen*spricht gerne*über seine Tätigkeit*auf dem Bau.,"Ich*weiß,*dass*der Aufenthalt*wegen der schlechten Lage*preiswert ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler2_socstat_related_1.jpg,Filler2_socstat_related_2.jpg,Filler2_socstat_unrelated_1.jpg,Filler2_socstat_unrelated_2.jpg,Jürgen spricht gerne über seine Tätigkeit auf dem Bau.
71,16,16,critical,WP1,f,high,low,mismatch,no,Feinsinnig veranlagt*verkündet*Robert:,Ich*koche*jetzt*mein Moos*auf dem Kochfeld.,Welches Bild passt am besten zu dem vorherigen Satz?,Moos-1.jpg,Geld-1.jpg,Futter-1.jpg,Essen-1.jpg,Feinsinnig veranlagt verkündet Robert:
